timestamp,volume,high,close,low,open
195.8800,202.1600,2019-04-15,199.2800,202.6900,715830
199.9500,200.5000,2019-04-12,202.6000,205.8400,890444
199.6600,200.3600,2019-04-11,201.2100,203.5400,695935
194.8200,199.8800,2019-04-10,194.9700,204.4200,1654693
194.5200,194.8200,2019-04-09,196.4700,199.6300,757945
191.2100,197.5000,2019-04-08,195.5300,197.6300,1003549
193.4000,196.5200,2019-04-05,199.9800,199.9998,1007050
192.8500,198.0000,2019-04-04,207.0000,208.0925,1704288
203.2300,207.2100,2019-04-03,208.5000,209.6900,1363888
202.6813,206.8400,2019-04-02,206.0000,207.4800,1141808
197.0400,206.1300,2019-04-01,201.5600,206.2389,2139692
188.4000,197.9500,2019-03-29,189.1100,199.3700,2297992
180.1000,186.5100,2019-03-28,180.6000,189.9000,2078450
178.2995,180.3800,2019-03-27,187.7100,189.6399,2328197
184.2800,186.9400,2019-03-26,201.5300,202.5000,3159042
196.2700,197.0400,2019-03-25,201.5000,204.4500,1680228
201.2273,202.9100,2019-03-22,212.6500,214.6985,1497816
204.3966,213.5700,2019-03-21,204.4700,214.4800,1125794
201.2112,205.9600,2019-03-20,205.4500,208.1900,840656
201.7501,205.6700,2019-03-19,204.3900,207.3500,748002
200.8600,203.7500,2019-03-18,208.0000,209.7400,1652767
206.4600,207.0000,2019-03-15,208.5700,211.8707,1166781
202.7300,208.2300,2019-03-14,205.2000,209.8600,977815
202.9500,205.1900,2019-03-13,208.5000,209.2300,1216565
201.5900,207.8000,2019-03-12,205.3800,208.5815,1266472
194.3500,204.3800,2019-03-11,194.8700,206.3600,2327306
180.5009,194.3500,2019-03-08,185.1300,194.7600,1682239
184.7368,188.8000,2019-03-07,185.8700,191.8900,1388657
184.2050,186.3500,2019-03-06,190.4000,190.5000,1311632
186.2410,191.2300,2019-03-05,187.9500,192.1100,993073
182.6712,189.3800,2019-03-04,196.8700,197.7100,2164673
193.5100,195.1200,2019-03-01,199.1600,201.4700,1574381
192.5340,197.5400,2019-02-28,194.0000,198.9500,1504149
194.6700,195.0000,2019-02-27,194.6700,199.6000,1236547
191.6400,195.5000,2019-02-26,195.0000,197.8200,1842605
192.4700,197.6200,2019-02-25,193.5800,202.3000,3195443
173.5000,197.7300,2019-02-22,175.0000,200.1500,7971429
148.3600,150.4900,2019-02-21,150.0900,153.2000,2295954
145.5100,150.0900,2019-02-20,156.7500,156.7900,4177774
156.5200,161.7000,2019-02-19,159.0000,165.7000,2153659
153.1100,158.1200,2019-02-15,155.0000,158.2700,1281602
149.9900,153.4300,2019-02-14,149.9900,154.9350,966942
147.5700,151.3400,2019-02-13,154.9000,156.5800,1062640
150.1600,152.9800,2019-02-12,151.0000,153.5100,844691
145.1600,148.9000,2019-02-11,148.0100,150.0000,830500
138.7800,146.1800,2019-02-08,139.5000,146.9100,859060
138.5820,142.0400,2019-02-07,145.4000,145.4000,1347403
146.1800,147.5000,2019-02-06,155.0000,155.9699,1740173
152.9900,155.1600,2019-02-05,153.1400,157.5000,1220584
145.6700,151.6700,2019-02-04,146.0000,155.1500,1593878
142.1593,145.2600,2019-02-01,142.4700,146.0000,756423
140.0500,142.6800,2019-01-31,140.0500,145.7800,1021867
135.3953,140.0500,2019-01-30,137.0000,141.7900,817417
132.9651,134.5600,2019-01-29,135.7100,136.9800,547935
high,close,open,timestamp,low,volume
257.9950,252.9700,255.0000,2019-06-20,252.6600,333964
251.7100,251.3000,247.5400,2019-06-19,243.9000,813384
255.5000,245.1800,252.5700,2019-06-18,244.5000,1062164
253.9300,248.1100,246.5300,2019-06-17,246.1700,985321
246.8800,244.9400,243.6400,2019-06-14,240.7600,1123210
248.9900,246.8800,242.8500,2019-06-13,242.2100,1080879
245.7900,242.2000,237.4000,2019-06-12,231.6500,2527072
255.4900,249.3600,253.6200,2019-06-11,245.8700,1523495
257.1299,249.8800,249.3600,2019-06-10,247.4804,1822411
250.0000,245.0400,239.0000,2019-06-07,238.0100,1943741
238.0275,237.2600,233.0000,2019-06-06,224.3600,1979161
234.0000,232.3000,224.5800,2019-06-05,224.5800,2709933
223.3700,222.9100,200.8400,2019-06-04,200.5000,3084173
202.7000,197.4200,199.8700,2019-06-03,196.0000,1704634
201.6100,198.8100,198.0000,2019-05-31,196.0100,988370
204.4400,201.8900,203.0200,2019-05-30,200.1800,1155421
204.7200,201.4500,202.0000,2019-05-29,199.0000,1519227
203.6200,202.0900,196.9500,2019-05-28,196.2300,1689867
199.7399,195.9000,197.5000,2019-05-24,193.7800,1220201
198.0000,195.2900,196.0000,2019-05-23,192.2500,1484660
205.9900,198.9000,197.1300,2019-05-22,197.0004,1266955
207.7600,199.0300,200.0500,2019-05-21,198.1000,1782182
201.5200,198.1700,193.1700,2019-05-20,190.5500,1389981
202.6100,198.0200,198.6200,2019-05-17,196.0449,1497381
209.3900,202.0400,200.6400,2019-05-16,197.4443,3275164
201.3900,199.8800,185.3900,2019-05-15,184.7600,3502851
187.1700,185.2600,179.5200,2019-05-14,177.8500,2228148
181.5200,176.7600,175.7700,2019-05-13,173.6000,2094526
192.6700,183.5100,191.0100,2019-05-10,181.8150,3720332
218.0000,189.9200,218.0000,2019-05-09,180.5000,8963552
225.7800,222.1100,216.2400,2019-05-08,215.5000,1642792
225.6700,217.6500,222.3700,2019-05-07,214.2400,1690068
229.6300,225.5900,225.0000,2019-05-06,220.6103,1746455
232.6959,231.9600,227.0100,2019-05-03,222.6435,1316982
227.3300,225.1600,220.0000,2019-05-02,220.0000,1100647
225.6400,221.2200,222.8900,2019-05-01,219.0000,1033194
224.7800,221.4800,219.5900,2019-04-30,216.6700,1720577
226.3800,225.8900,217.3000,2019-04-29,216.5000,1562633
217.3000,215.2400,214.2400,2019-04-26,211.6000,849119
216.8800,214.7500,210.0300,2019-04-25,208.1800,1026549
